,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
25,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-25,2.0,2024-04-21,3.2,,5.7
26,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-28,12.6,2024-04-23,10.6,2.0,5.7
27,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-25,2.0,,5.7
28,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-28,12.6,1.0,5.7
29,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-30,29.2,3.0,5.7
31,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,20.0,2024-04-01,20.0,,5.6
32,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-08,37.0,2024-04-08,35.0,,5.6
33,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-11,33.0,2024-04-11,33.0,1.0,5.6
34,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-12,36.0,2024-04-12,36.0,,5.6
35,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-13,13.0,2024-04-13,13.0,,5.6
36,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-16,31.0,2024-04-16,31.0,,5.6
37,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-17,15.0,2024-04-17,15.0,,5.6
38,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-18,55.0,2024-04-18,55.0,,5.6
39,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-21,66.0,2024-04-21,66.0,1.0,5.6
40,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-24,71.0,2024-04-24,69.0,,5.6
41,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-25,92.0,2024-04-25,92.16,,5.6
42,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-26,131.0,2024-04-26,121.0,1.0,5.6
43,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-27,0.0,2024-04-27,3.83,,5.6
44,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4947ТВ69,ГТС Выборг,Прочие,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
46,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-01,15.0,2024-04-01,15.0,,5.2
47,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-02,6.0,2024-04-02,6.0,,5.2
48,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-03,21.0,2024-04-03,21.0,2.0,5.2
49,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-04,9.0,2024-04-04,9.0,,5.2
50,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-05,12.0,2024-04-05,12.0,,5.2
51,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-07,22.0,2024-04-07,22.0,1.0,5.2
52,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-08,8.0,2024-04-08,8.0,,5.2
53,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-10,55.0,2024-04-10,55.0,3.0,5.2
54,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-12,13.0,2024-04-12,13.0,,5.2
55,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-13,0.0,2024-04-13,3.18,,5.2
56,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-15,2.0,2024-04-15,2.0,,5.2
57,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-16,6.0,2024-04-16,6.0,,5.2
58,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-17,13.0,2024-04-17,13.0,,5.2
59,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-19,23.0,2024-04-19,23.0,2.0,5.2
60,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-20,2.0,2024-04-20,2.0,,5.2
61,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-24,17.0,2024-04-24,17.0,,5.2
62,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-25,1.0,2024-04-25,1.0,,5.2
63,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-26,31.0,2024-04-26,32.1,,5.2
64,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-27,17.0,2024-04-27,17.0,1.0,5.2
65,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-28,13.5,2024-04-28,13.5,,5.2
66,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5009СА70,ГТС Выборг,В целевой структуре парка,2024-04-29,16.5,2024-04-29,14.5,,5.2
68,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5000СА70,ГТС Выборг,В целевой структуре парка,2024-04-02,4.0,2024-04-02,14.0,,4.5
69,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5000СА70,ГТС Выборг,В целевой структуре парка,2024-04-16,3.0,2024-04-10,11.0,1.0,4.5
70,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5000СА70,ГТС Выборг,В целевой структуре парка,2024-04-29,177.0,2024-04-16,3.36,,4.5
71,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5000СА70,ГТС Выборг,В целевой структуре парка,,,2024-04-29,177.0,,4.5
73,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-05,4.0,2024-04-05,4.0,,5.9
74,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-07,0.0,2024-04-07,0.0,,5.9
75,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-10,1.0,2024-04-10,1.0,,5.9
76,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-14,7.0,2024-04-14,7.0,,5.9
77,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-15,2.0,2024-04-15,2.0,,5.9
78,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9535РХ70,ГТС Выборг,В целевой структуре парка,2024-04-21,0.0,2024-04-21,0.02,,5.9
79,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4946ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
81,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-04,23.56,2024-04-04,23.56,3.0,5.8
82,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-10,50.2,2024-04-10,30.3,,5.8
83,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-11,50.2,2024-04-11,17.2,3.0,5.8
84,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-18,3.2,2024-04-18,3.2,,5.8
85,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-25,1.0,2024-04-25,1.0,,5.8
86,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-27,19.44,2024-04-27,11.7,2.0,5.8
87,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0070РХ70,ГТС Выборг,В целевой структуре парка,2024-04-29,15.4,2024-04-29,15.4,,5.8
88,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,В013ЕУ170,ГТС Выборг,В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
90,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-04,3.8,,,,5.9
91,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-10,10.2,,,,5.9
92,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-11,60.2,,,2.0,5.9
93,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-16,18.0,,,,5.9
94,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-18,2.2,,,,5.9
95,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3344МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-25,1.0,,,,5.9
96,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3345МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
97,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3365МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),Прочие,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
98,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,3364МР51,ГТС Выборг,В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
99,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9901МУ51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
100,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0059РХ70,ГТС Выборг,В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
101,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0007МР51,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
103,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-01,22.0,2024-04-01,22.0,,5.6
104,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-03,19.0,2024-04-03,25.0,1.0,5.6
105,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-04,5.4,2024-04-04,8.4,,5.6
106,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-11,6.0,2024-04-11,6.0,,5.6
107,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-17,13.0,2024-04-17,13.0,,5.6
108,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-18,40.0,2024-04-18,40.0,2.0,5.6
109,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-19,4.0,2024-04-19,6.62,,5.6
110,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-20,2.0,2024-04-20,2.0,,5.6
111,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-21,10.0,2024-04-21,13.0,,5.6
112,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,1610МР51,ГТС Выборг,В целевой структуре парка,2024-04-24,369.0,2024-04-24,370.12,,5.6
114,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-01,50.3,,,3.0,5.7
115,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-05,27.69,2024-04-05,6.92,,5.7
116,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-08,27.13,2024-04-08,3.13,,5.7
117,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-10,51.0,2024-04-10,30.0,,5.7
118,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-16,1.0,2024-04-16,1.0,2.0,5.7
119,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-20,35.22,2024-04-22,3.41,,5.7
120,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-22,3.5,2024-04-29,2.1,,5.7
121,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-29,2.1,2024-04-30,18.56,1.0,5.7
122,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0061РХ70,ГТС Выборг,В целевой структуре парка,2024-04-30,18.56,,,,5.7
124,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-08,1.6,,5.9
125,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-12,11.0,2.0,5.9
126,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-19,4.0,1.0,5.9
127,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-24,1.0,,5.9
128,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0074РХ70,ГТС Выборг,В целевой структуре парка,,0.0,,0.0,0.0,0.0
129,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0606РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,0.0,,0.0,0.0,0.0
131,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-01,12.0,,,,1.6
132,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-03,19.0,,,1.0,1.6
133,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-04,4.0,,,1.0,1.6
134,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-11,6.0,,,,1.6
135,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-17,13.0,,,,1.6
136,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-18,40.0,,,1.0,1.6
137,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-19,4.0,,,2.0,1.6
138,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-20,2.0,,,,1.6
139,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-21,10.0,,,,1.6
140,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0693РХ70,ГТС Выборг,Прочие,2024-04-24,36.0,,,1.0,1.6
142,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-04,8.0,2024-04-04,9.0,,2.5
143,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-08,23.0,,2.5
144,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-09,42.0,2.0,2.5
145,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-10,32.0,1.0,2.5
146,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-17,31.0,,2.5
147,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-18,27.0,3.0,2.5
148,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-19,14.0,1.0,2.5
149,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-20,10.16,,2.5
150,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-25,13.0,2.0,2.5
151,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-26,37.0,1.0,2.5
152,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0694РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-27,112.0,4.0,2.5
154,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-05,6.0,2024-04-05,6.0,,5.8
155,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-07,18.15,2024-04-07,18.15,,5.8
156,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-10,27.75,2024-04-10,27.75,,5.8
157,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-14,10.0,2024-04-14,10.0,,5.8
158,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-15,32.0,2024-04-15,32.0,,5.8
159,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-21,45.0,2024-04-21,40.56,,5.8
160,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0696РХ70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-24,6.1,2024-04-24,6.1,,5.8
162,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,2024-04-01,6.92,2024-04-01,6.42,,4.9
163,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,2024-04-05,3.13,2024-04-05,9.48,1.0,4.9
164,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,2024-04-13,30.0,2024-04-13,30.0,2.0,4.9
165,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,2024-04-21,9.05,2024-04-21,9.05,1.0,4.9
166,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0699РХ70,ГТС Выборг,В целевой структуре парка,2024-04-28,20.4,2024-04-28,20.4,1.0,4.9
168,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-01,30.65,2024-04-01,30.65,,4.6
169,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-03,9.81,2024-04-03,9.81,,4.6
170,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-04,19.41,2024-04-04,19.41,1.0,4.6
171,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-05,9.0,2024-04-05,9.0,,4.6
172,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-08,164.0,2024-04-08,164.0,1.0,4.6
